observacao_id,camada_numero,camada_nome,amostra_codigo,profund_sup,profund_inf,argila_naoh_esferas_pipeta,carbono_fornalha_1min950_cgdct,carbono_dicromato_30min150_mohr,matorg_fornalha_120min360_massa,matorg_dicromato_30min80_eam,densidade_aliquota
#unidade,-,-,-,cm,cm,g/kg,g/kg,g/kg,g/kg,g/dm^3,g/cm^3
1,1,-,1,0,20,40,6,6,11,10,"1,41"
2,1,-,1,0,20,40,4,4,8,7,"1,47"
3,1,-,1,0,20,50,10,9,15,17,"1,35"
4,1,-,1,0,20,60,9,8,13,20,"1,63"
5,1,-,1,0,20,60,9,9,15,18,"1,38"
6,1,-,1,0,20,70,6,6,10,16,"1,13"
7,1,-,1,0,20,80,5,5,9,8,"1,31"
8,1,-,1,0,20,90,20,18,33,30,"1,16"
9,1,-,1,0,4,90,23,22,57,34,"1,07"
10,1,-,1,0,20,120,10,9,17,20,"1,26"
11,1,-,1,0,"17,5",130,30,27,47,43,"1,10"
12,1,-,1,0,20,140,12,10,20,20,"1,22"
13,1,-,1,0,"16,5",150,31,30,64,34,"0,78"
14,1,-,1,0,"2,5",150,23,22,53,30,"1,00"
15,1,-,1,0,20,160,9,8,20,20,"1,44"
16,1,-,1,0,20,160,15,14,28,27,"1,27"
17,1,-,1,0,5,160,85,78,185,93,"0,88"
18,1,-,1,0,5,180,24,21,62,28,"0,98"
19,1,-,1,0,3,180,161,127,373,141,"0,67"
20,1,-,1,0,15,190,40,37,100,51,"0,92"
21,1,-,1,0,10,190,44,41,109,53,"0,86"
22,1,-,1,0,5,190,50,46,101,63,"0,82"
23,1,-,1,0,20,200,11,10,23,19,"1,27"
24,1,-,1,0,20,200,12,12,23,22,"1,15"
25,1,-,1,0,4,210,95,84,212,98,"0,82"
26,1,-,1,0,20,210,19,17,34,33,"1,17"
27,1,-,1,0,10,210,94,84,214,116,"0,93"
28,1,A,1,0,25,140,9,8,16,17,"1,30"
29,1,-,1,0,15,220,65,56,136,76,"0,84"
30,1,-,1,0,"12,5",230,37,36,80,53,"0,84"
31,1,-,1,0,4,230,127,118,301,127,"0,69"
32,1,-,1,0,"12,5",240,61,56,146,75,"0,84"
33,1,-,1,0,5,240,71,67,151,81,"0,79"
34,1,-,1,0,20,250,108,89,209,103,"0,64"
35,1,-,1,0,3,250,155,145,385,189,"0,69"
36,-,-,1,10,20,260,12,10,28,19,"1,14"
37,1,-,1,0,4,260,93,83,179,103,"0,77"
38,1,-,1,0,20,260,30,27,64,40,"0,87"
39,1,-,1,0,20,270,26,22,50,38,"0,99"
40,1,-,1,0,20,270,17,14,39,33,"1,13"
41,1,-,1,0,20,280,48,40,110,59,"0,94"
42,1,-,1,0,20,280,26,20,78,35,"1,00"
43,1,-,1,0,10,280,15,13,37,26,"1,13"
44,1,-,1,0,20,290,25,24,59,45,"1,16"
45,1,-,1,0,20,310,19,17,40,35,"1,09"
46,1,-,1,0,20,320,19,17,42,33,"1,08"
47,1,-,1,0,20,320,20,18,44,33,"0,99"
48,1,-,1,0,4,340,77,71,150,83,"0,68"
49,-,-,1,10,20,350,15,14,44,15,"1,07"
50,1,-,1,0,10,350,19,18,38,26,"1,13"
51,1,-,1,0,20,370,38,35,70,46,"1,00"
52,1,-,1,0,5,370,66,60,110,73,"0,85"
53,1,-,1,0,20,370,94,82,153,86,"0,81"
54,1,-,1,0,20,380,14,13,33,18,"1,18"
55,1,-,1,0,20,390,22,20,39,25,"1,01"
56,1,-,1,0,20,400,20,19,38,20,"1,02"
57,1,-,1,0,5,430,122,112,242,101,"0,73"
58,1,-,1,0,5,430,161,175,393,81,"0,72"
59,-,-,1,5,10,470,104,84,168,107,"0,89"
60,1,-,1,0,5,470,128,113,250,138,"0,80"
61,1,-,1,0,20,480,45,41,86,59,"1,00"
62,1,-,1,0,20,480,28,27,60,37,"0,99"
63,1,-,1,0,20,480,48,45,115,63,"0,99"
64,1,-,1,0,20,500,59,56,130,61,"0,93"
65,1,-,1,0,20,500,42,41,105,54,"1,02"
66,2,B,1,110,155,290,5,7,20,6,"1,14"
67,1,A,1,0,40,270,12,10,29,18,"1,20"
68,1,A,1,0,30,400,14,11,41,19,"1,07"
69,2,B,1,28,45,440,5,5,33,8,"1,11"
70,1,A,1,0,27,440,5,6,50,24,"1,08"
71,-,-,1,5,10,510,117,151,419,154,"0,76"
72,-,-,1,5,10,520,104,98,271,136,"0,94"
73,-,-,1,10,15,520,106,118,341,147,"0,89"
74,1,-,1,0,20,530,76,38,94,51,"1,00"
75,-,-,1,5,10,530,76,68,182,80,"0,99"
76,-,-,1,5,10,530,120,121,320,148,"0,87"
77,-,-,1,10,15,530,94,87,243,98,"0,97"
78,1,-,1,0,20,540,53,39,92,53,"1,01"
79,1,-,1,0,20,550,38,33,78,41,"0,98"
80,-,-,1,10,15,550,69,68,173,94,"0,99"
81,-,-,1,15,30,550,85,76,210,95,"0,88"
82,1,-,1,0,20,560,40,31,78,45,"1,02"
83,1,-,1,0,20,560,36,33,82,46,"0,98"
84,-,-,1,10,15,560,69,61,156,82,"0,99"
85,-,-,1,5,10,580,87,74,147,95,"0,63"
86,-,-,1,20,40,580,25,22,54,35,"0,96"
87,-,-,1,10,15,590,69,61,135,78,"0,96"
88,1,-,1,0,5,610,69,61,114,72,"0,76"
89,1,-,1,0,5,620,45,39,78,53,"1,03"
90,1,-,1,0,5,560,57,51,99,67,"0,94"
91,-,-,1,20,40,630,24,21,61,32,"0,97"
92,-,-,1,10,15,630,108,95,209,125,"0,95"
93,-,-,1,20,40,640,25,21,53,32,"0,99"
94,1,A,1,0,15,590,20,17,36,28,"1,08"
95,-,-,1,40,60,680,20,16,49,24,"0,98"
96,-,-,1,15,30,680,63,56,136,83,"1,04"
97,-,-,1,40,60,720,20,16,48,21,"1,09"
98,-,-,1,40,60,730,19,15,70,20,"1,03"
99,1,-,1,0,20,800,56,52,112,56,"0,93"
100,1,A,1,0,15,500,14,11,45,18,"1,06"
101,2,B,1,45,70,630,7,5,39,7,"1,05"
102,2,B,1,54,90,790,5,4,50,5,"1,11"
103,2,B,1,90,150,800,5,4,36,5,"1,06"
104,1,A,1,15,70,600,38,40,100,46,"1,05"
105,2,B,1,70,100,630,13,9,43,9,"1,06"
1,-,-,2,-,-,-,-,-,-,-,"1,46"
2,-,-,2,-,-,-,-,-,-,-,"1,466"
3,-,-,2,-,-,-,-,-,-,-,"1,315"
4,-,-,2,-,-,-,-,-,-,-,"1,607"
5,-,-,2,-,-,-,-,-,-,-,"1,353"
6,-,-,2,-,-,-,-,-,-,-,"1,184"
7,-,-,2,-,-,-,-,-,-,-,"1,326"
8,-,-,2,-,-,-,-,-,-,-,"1,039"
9,-,-,2,-,-,-,-,-,-,-,"1,067"
10,-,-,2,-,-,-,-,-,-,-,"1,267"
11,-,-,2,-,-,-,-,-,-,-,"1,128"
12,-,-,2,-,-,-,-,-,-,-,"1,195"
13,-,-,2,-,-,-,-,-,-,-,"0,755"
14,-,-,2,-,-,-,-,-,-,-,"0,972"
15,-,-,2,-,-,-,-,-,-,-,"1,458"
16,-,-,2,-,-,-,-,-,-,-,"1,248"
17,-,-,2,-,-,-,-,-,-,-,"0,807"
18,-,-,2,-,-,-,-,-,-,-,"0,96"
19,-,-,2,-,-,-,-,-,-,-,"0,651"
20,-,-,2,-,-,-,-,-,-,-,"0,952"
21,-,-,2,-,-,-,-,-,-,-,"0,844"
22,-,-,2,-,-,-,-,-,-,-,"0,846"
23,-,-,2,-,-,-,-,-,-,-,"1,273"
24,-,-,2,-,-,-,-,-,-,-,"1,19"
25,-,-,2,-,-,-,-,-,-,-,"0,853"
26,-,-,2,-,-,-,-,-,-,-,"1,159"
27,-,-,2,-,-,-,-,-,-,-,"0,893"
28,-,-,2,-,-,-,-,-,-,-,"1,311"
29,-,-,2,-,-,-,-,-,-,-,"0,837"
30,-,-,2,-,-,-,-,-,-,-,"0,831"
31,-,-,2,-,-,-,-,-,-,-,"0,683"
32,-,-,2,-,-,-,-,-,-,-,"0,822"
33,-,-,2,-,-,-,-,-,-,-,"0,804"
34,-,-,2,-,-,-,-,-,-,-,"0,677"
35,-,-,2,-,-,-,-,-,-,-,"0,702"
36,-,-,2,-,-,-,-,-,-,-,"1,118"
37,-,-,2,-,-,-,-,-,-,-,"0,747"
38,-,-,2,-,-,-,-,-,-,-,"0,86"
39,-,-,2,-,-,-,-,-,-,-,"0,966"
40,-,-,2,-,-,-,-,-,-,-,"1,104"
41,-,-,2,-,-,-,-,-,-,-,"0,951"
42,-,-,2,-,-,-,-,-,-,-,"0,983"
43,-,-,2,-,-,-,-,-,-,-,"1,141"
44,-,-,2,-,-,-,-,-,-,-,"1,061"
45,-,-,2,-,-,-,-,-,-,-,"1,091"
46,-,-,2,-,-,-,-,-,-,-,"1,048"
47,-,-,2,-,-,-,-,-,-,-,"0,974"
48,-,-,2,-,-,-,-,-,-,-,"0,661"
49,-,-,2,-,-,-,-,-,-,-,"1,128"
50,-,-,2,-,-,-,-,-,-,-,"1,122"
51,-,-,2,-,-,-,-,-,-,-,"0,989"
52,-,-,2,-,-,-,-,-,-,-,"0,834"
53,-,-,2,-,-,-,-,-,-,-,"0,821"
54,-,-,2,-,-,-,-,-,-,-,"1,156"
55,-,-,2,-,-,-,-,-,-,-,"0,973"
56,-,-,2,-,-,-,-,-,-,-,"0,969"
57,-,-,2,-,-,-,-,-,-,-,"0,73"
58,-,-,2,-,-,-,-,-,-,-,"0,698"
59,-,-,2,-,-,-,-,-,-,-,"0,927"
60,-,-,2,-,-,-,-,-,-,-,"0,809"
61,-,-,2,-,-,-,-,-,-,-,"0,98"
62,-,-,2,-,-,-,-,-,-,-,"1,004"
63,-,-,2,-,-,-,-,-,-,-,"0,962"
64,-,-,2,-,-,-,-,-,-,-,"0,901"
65,-,-,2,-,-,-,-,-,-,-,"0,958"
66,-,-,2,-,-,-,-,-,-,-,"1,163"
67,-,-,2,-,-,-,-,-,-,-,"1,219"
68,-,-,2,-,-,-,-,-,-,-,"1,015"
69,-,-,2,-,-,-,-,-,-,-,"1,091"
70,-,-,2,-,-,-,-,-,-,-,"1,037"
71,-,-,2,-,-,-,-,-,-,-,"0,799"
72,-,-,2,-,-,-,-,-,-,-,"0,887"
73,-,-,2,-,-,-,-,-,-,-,"0,791"
74,-,-,2,-,-,-,-,-,-,-,"1,065"
75,-,-,2,-,-,-,-,-,-,-,"0,883"
76,-,-,2,-,-,-,-,-,-,-,"0,832"
77,-,-,2,-,-,-,-,-,-,-,"0,929"
78,-,-,2,-,-,-,-,-,-,-,"0,998"
79,-,-,2,-,-,-,-,-,-,-,"0,912"
80,-,-,2,-,-,-,-,-,-,-,"0,989"
81,-,-,2,-,-,-,-,-,-,-,"0,872"
82,-,-,2,-,-,-,-,-,-,-,"0,958"
83,-,-,2,-,-,-,-,-,-,-,"0,988"
84,-,-,2,-,-,-,-,-,-,-,"0,966"
85,-,-,2,-,-,-,-,-,-,-,"0,691"
86,-,-,2,-,-,-,-,-,-,-,"1,029"
87,-,-,2,-,-,-,-,-,-,-,"0,92"
88,-,-,2,-,-,-,-,-,-,-,"0,817"
89,-,-,2,-,-,-,-,-,-,-,"1,014"
90,-,-,2,-,-,-,-,-,-,-,"0,854"
91,-,-,2,-,-,-,-,-,-,-,"0,949"
92,-,-,2,-,-,-,-,-,-,-,"0,906"
93,-,-,2,-,-,-,-,-,-,-,"1,025"
94,-,-,2,-,-,-,-,-,-,-,"1,12"
95,-,-,2,-,-,-,-,-,-,-,"0,976"
96,-,-,2,-,-,-,-,-,-,-,"1,319"
97,-,-,2,-,-,-,-,-,-,-,"1,03"
98,-,-,2,-,-,-,-,-,-,-,"1,011"
99,-,-,2,-,-,-,-,-,-,-,"0,94"
100,-,-,2,-,-,-,-,-,-,-,"1,081"
101,-,-,2,-,-,-,-,-,-,-,"1,044"
102,-,-,2,-,-,-,-,-,-,-,"1,042"
103,-,-,2,-,-,-,-,-,-,-,"1,007"
104,-,-,2,-,-,-,-,-,-,-,"1,092"
105,-,-,2,-,-,-,-,-,-,-,"1,08"
1,-,-,3,-,-,-,-,-,-,-,"1,386"
2,-,-,3,-,-,-,-,-,-,-,"1,398"
3,-,-,3,-,-,-,-,-,-,-,"1,276"
4,-,-,3,-,-,-,-,-,-,-,"1,583"
5,-,-,3,-,-,-,-,-,-,-,"1,338"
6,-,-,3,-,-,-,-,-,-,-,"1,196"
7,-,-,3,-,-,-,-,-,-,-,"1,326"
8,-,-,3,-,-,-,-,-,-,-,"1,084"
9,-,-,3,-,-,-,-,-,-,-,"1,044"
10,-,-,3,-,-,-,-,-,-,-,"1,271"
11,-,-,3,-,-,-,-,-,-,-,"1,097"
12,-,-,3,-,-,-,-,-,-,-,"1,248"
13,-,-,3,-,-,-,-,-,-,-,"0,758"
14,-,-,3,-,-,-,-,-,-,-,"0,975"
15,-,-,3,-,-,-,-,-,-,-,"1,335"
