"toc","oc","om","tom","clay","topsoil","agriculture","forest","grazing","argissolo","cambissolo","latossolo","neossolo","planossolo"
6,6,10,11,40,1,0,0,1,0,0,0,1,0
10,9,20,17,120,1,1,0,0,0,0,0,0,1
14,11,18,45,500,1,1,0,0,0,0,0,0,0
7,5,7,39,630,0,1,0,0,0,0,0,0,0
5,4,5,50,790,0,1,0,0,0,0,1,0,0
5,4,5,36,800,0,1,0,0,0,0,1,0,0
38,40,46,100,600,0,0,0,1,0,0,0,0,0
13,9,9,43,630,0,1,0,0,0,1,0,0,0
30,27,43,47,130,1,0,1,0,0,0,0,1,0
12,10,20,20,140,1,1,0,0,0,0,0,0,1
31,30,34,64,150,1,0,1,0,0,0,0,1,0
23,22,30,53,150,1,0,0,0,0,0,0,1,0
9,8,20,20,160,1,1,0,0,0,0,0,0,1
15,14,27,28,160,1,1,0,0,0,0,0,0,1
85,78,93,185,160,1,0,1,0,0,0,0,1,0
24,21,28,62,180,1,0,0,0,0,0,0,1,0
161,127,141,373,180,1,0,1,0,0,0,0,1,0
4,4,7,8,40,1,0,0,0,1,0,0,0,0
40,37,51,100,190,1,0,1,0,0,0,0,1,0
44,41,53,109,190,1,0,1,0,0,0,0,1,0
50,46,63,101,190,1,0,1,0,0,0,0,1,0
11,10,19,23,200,1,1,0,0,0,0,0,0,1
12,12,22,23,200,1,1,0,0,0,0,0,0,0
95,84,98,212,210,1,0,1,0,0,0,0,1,0
19,17,33,34,210,1,1,0,0,0,0,0,0,1
94,84,116,214,210,1,0,1,0,0,0,0,1,0
9,8,17,16,140,0,1,0,0,1,0,0,0,0
65,56,76,136,220,1,0,1,0,0,0,0,1,0
10,9,17,15,50,1,0,1,0,1,0,0,0,0
37,36,53,80,230,1,0,1,0,0,0,0,1,0
127,118,127,301,230,1,0,1,0,0,0,0,1,0
61,56,75,146,240,1,0,1,0,0,0,0,1,0
71,67,81,151,240,1,0,0,0,0,0,0,1,0
108,89,103,209,250,1,0,1,0,0,0,0,1,0
155,145,189,385,250,1,0,1,0,0,0,0,1,0
12,10,19,28,260,1,0,0,0,0,1,0,0,0
93,83,103,179,260,1,0,1,0,0,0,0,1,0
30,27,40,64,260,1,0,0,0,0,0,0,1,0
26,22,38,50,270,1,0,0,0,0,0,0,1,0
9,8,20,13,60,1,1,0,0,0,0,0,0,1
17,14,33,39,270,1,1,0,0,1,0,0,0,0
48,40,59,110,280,1,0,1,0,0,0,0,1,0
26,20,35,78,280,1,0,0,1,0,1,0,0,0
15,13,26,37,280,1,1,0,0,0,1,0,0,0
25,24,45,59,290,1,1,0,0,0,0,0,0,0
19,17,35,40,310,1,0,0,0,1,0,0,0,0
19,17,33,42,320,1,1,0,0,0,0,0,0,1
20,18,33,44,320,1,1,0,0,1,0,0,0,0
77,71,83,150,340,1,0,1,0,0,0,0,1,0
15,14,15,44,350,1,1,0,0,0,1,0,0,0
9,9,18,15,60,1,1,0,0,0,0,0,0,1
19,18,26,38,350,1,1,0,0,0,1,0,0,0
38,35,46,70,370,1,1,0,0,0,0,0,1,0
66,60,73,110,370,1,0,0,0,0,0,0,1,0
94,82,86,153,370,1,0,1,0,0,0,0,1,0
14,13,18,33,380,1,1,0,0,0,0,0,0,0
22,20,25,39,390,1,1,0,0,1,0,0,0,0
20,19,20,38,400,1,0,0,0,1,0,0,0,0
122,112,101,242,430,1,0,0,1,0,0,0,1,0
161,175,81,393,430,1,0,0,1,0,0,0,1,0
104,84,107,168,470,1,0,0,1,0,0,0,1,0
6,6,16,10,70,1,0,0,0,1,0,0,0,0
128,113,138,250,470,1,0,0,1,0,0,0,1,0
45,41,59,86,480,1,1,0,0,0,1,0,0,0
28,27,37,60,480,1,1,0,0,0,0,0,1,0
48,45,63,115,480,1,1,0,0,0,0,1,0,0
59,56,61,130,500,1,1,0,0,0,0,0,0,0
42,41,54,105,500,1,1,0,0,0,1,0,0,0
5,7,6,20,290,0,1,0,0,1,0,0,0,0
12,10,18,29,270,0,1,0,0,1,0,0,0,0
14,11,19,41,400,0,1,0,0,0,0,1,0,0
5,5,8,33,440,0,0,0,1,0,0,0,0,0
5,5,8,9,80,1,0,1,0,1,0,0,0,0
5,6,24,50,440,0,1,0,0,0,1,0,0,0
117,151,154,419,510,1,0,0,1,0,0,0,1,0
104,98,136,271,520,1,0,0,1,0,0,0,1,0
106,118,147,341,520,1,0,0,1,0,0,0,1,0
76,38,51,94,530,1,1,0,0,0,1,0,0,0
76,68,80,182,530,1,0,0,1,0,0,0,1,0
120,121,148,320,530,1,0,0,1,0,0,0,1,0
94,87,98,243,530,1,0,0,1,0,0,0,1,0
53,39,53,92,540,1,1,0,0,0,1,0,0,0
38,33,41,78,550,1,0,1,0,0,0,1,0,0
20,18,30,33,90,1,0,0,1,1,0,0,0,0
69,68,94,173,550,1,0,0,1,0,0,0,1,0
85,76,95,210,550,0,0,0,1,0,0,0,1,0
40,31,45,78,560,1,0,0,1,0,0,1,0,0
36,33,46,82,560,1,0,0,1,0,0,1,0,0
69,61,82,156,560,1,0,0,1,0,1,0,0,0
87,74,95,147,580,1,0,0,1,0,0,0,1,0
25,22,35,54,580,0,0,0,1,0,0,1,0,0
69,61,78,135,590,1,0,0,1,0,0,0,1,0
69,61,72,114,610,1,0,1,0,0,0,1,0,0
45,39,53,78,620,1,0,0,1,0,0,1,0,0
23,22,34,57,90,1,0,0,1,0,0,0,1,0
57,51,67,99,560,1,0,0,1,0,0,1,0,0
24,21,32,61,630,0,0,0,1,0,0,1,0,0
108,95,125,209,630,1,0,0,1,0,0,0,1,0
25,21,32,53,640,0,0,1,0,0,0,1,0,0
20,17,28,36,590,1,1,0,0,0,0,1,0,0
20,16,24,49,680,0,0,0,1,0,0,1,0,0
63,56,83,136,680,0,0,0,1,0,0,0,1,0
20,16,21,48,720,0,0,1,0,0,0,1,0,0
19,15,20,70,730,0,0,0,1,0,0,1,0,0
56,52,56,112,800,1,1,0,0,0,0,0,0,0
