tabela_id,campo_id,campo_nome,campo_descricao,campo_unidade,campo_tipo,metodo_id,lab_nome,lab_pais_id,lab_municipio_id,lab_codigo_postal,lab_rua_nome,lab_rua_numero
observacao,observacao_id,Identificação da observação,Identificador exclusivo da observação,-,Texto,-,-,-,-,-,-,-
observacao,info_identificacao,Informação sobre identificação,Informação sobre identificação,-,Texto,-,-,-,-,-,-,-
observacao,provedor_id,Identificação do provedor,Identificador exclusivo da observação e respectivo conjunto de dados no febr de onde os dados foram originalmente obtidos,-,Texto,-,-,-,-,-,-,-
observacao,observacao_autor,Autor da observação,,-,Texto,-,-,-,-,-,-,-
observacao,observacao_data,Data da observação,Data da observação no formato dd-mm-aaaa,-,Data,-,-,-,-,-,-,-
observacao,coord_sistema,Sistema de referência de coordenadas,Sistema de referência de coordenadas utilizado conforme código EPSG,-,Texto,-,-,-,-,-,-,-
observacao,coord_x,Longitude,"Longitude, para coordenadas geográficas (em graus)",-,Real,-,-,-,-,-,-,-
observacao,coord_y,Latitude,"Latitude, para coordenadas geográficas (em graus)",-,Real,-,-,-,-,-,-,-
observacao,coord_precisao,Precisão das coordenadas,Precisão com que as coordenadas espaciais foram determinadas (em metros),m,Real,-,-,-,-,-,-,-
observacao,coord_fonte,Fonte das coordenadas,"Fonte das coordenadas. Opções são: GPS, se as coordenadas vêm de um GPS, MAPA, se as coordenadas vêm de um mapa, WEB, se as coordenadas vêm de um serviço web como o Google Maps.",-,Texto,-,-,-,-,-,-,-
observacao,pais_id,País,"Código ISO 3166-1 alpha-2 do país onde a observação foi feita. Nesse caso, BR = Brasil.",-,Texto,-,-,-,-,-,-,-
observacao,estado_id,Unidade federativa,"Sigla da unidade da federação onde a observação foi realizada. Nesse caso, RS = Rio Grande do Sul.",-,Texto,-,-,-,-,-,-,-
observacao,municipio_id,Município,Nome da cidade/município onde a observação foi realizada.,-,Texto,-,-,-,-,-,-,-
observacao,amostra_tipo,Tipo de amostragem,Tipo de amostragem. Opções: SIMPLES ou COMPOSTA.,-,Texto,-,-,-,-,-,-,-
observacao,amostra_quanti,Quantidade de subamostras,Número de amostras. Um (1) quando o valor da variável anterior é SIMPLES ou mais para COMPOSTA. Expressar o valor com números inteiros.,-,Inteiro,-,-,-,-,-,-,-
observacao,amostra_area,Área amostral,"Área amostral (m²). Por exemplo, a área de uma trincheira costuma ser de 1 m².",m^2,Real,-,-,-,-,-,-,-
observacao,taxon_sibcs_2009,Classificação taxonômica,"Nome da classificação da observação até o segundo nível categórico do Sistema Brasileiro de Classificação do Solo (sibcs) de 2009. Observações com classificação anterior à foram atualizadas dedutivamente. Por exemplo, Planossolo Hidromórfico foi atualizado para Planossolo Háplico.",-,Texto,-,-,-,-,-,-,-
observacao,terra_usoatual,Uso e ocupação da terra,Tipo de uso e ocupação da terra no momento da observação.,-,Texto,-,-,-,-,-,-,-
camada,observacao_id,Identificação da observação,Identificador exclusivo da observação usado no conjunto de dados de origem. Refere-se à aba “observacao”.,-,Texto,-,-,-,-,-,-,-
camada,camada_numero,Número da camada,"Número da camada ou horizonte na observação, atribuído consecutivamente de cima para baixo.",-,Inteiro,-,-,-,-,-,-,-
camada,camada_nome,Nome da camada,"Nome da camada ou horizonte. Exemplo: A, B, C, etc.",-,Texto,-,-,-,-,-,-,-
camada,amostra_codigo,Código da amostra,Código laboratorial da amostra. Usado para identificar as repetições de laboratório. Usar 1 se não houver repetição ou código laboratorial específico.,-,Texto,-,-,-,-,-,-,-
camada,profund_sup,Profundidade superior,Profundidade do limite superior da camada ou horizonte (cm).,cm,Real,-,-,-,-,-,-,-
camada,profund_inf,Profundidade inferior,Profundidade do limite inferior da camada ou horizonte (cm).,cm,Real,-,-,-,-,-,-,-
