observacao_id,info_identificacao,provedor_id,observacao_autor,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2009,terra_usoatual
#unidade,-,-,-,-,-,-,-,m,-,-,-,-,-,-,m^2,-,-
67,Alto das Canas A,-,Davi Alexandre Vieira,-,EPSG:4326,"-53,68000000","-29,66361100",10000,WEB,BR,RS,São Gabriel,simples,1,1,Argissolo Vermelho,Agricultura
66,Alto das Canas B,-,Davi Alexandre Vieira,-,EPSG:4326,"-53,68000000","-29,66361100",10000,WEB,BR,RS,São Gabriel,simples,1,1,Argissolo Vermelho,Agricultura
90,AR-CM-0-5,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
79,AR-MN-0-20,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Floresta
88,AR-MN-0-5,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Floresta
93,AR-MN-20-40,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Floresta
97,AR-MN-40-60,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Floresta
82,AR-PN-0-20,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
86,AR-PN-20-40,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
95,AR-PN-40-60,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
83,AR-PQ-0-20,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
89,AR-PQ-0-5,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
91,AR-PQ-20-40,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
98,AR-PQ-40-60,-,-,xx-xx-2006,EPSG:4326,"-50,42833300","-27,36944400",10000,WEB,BR,RS,André da Rocha,simples,1,1,Latossolo Vermelho,Campo nativo
4,-,-,Carlos Alberto Casali,-,EPSG:4326,"-53,122124","-29,697885",10000,WEB,BR,RS,Paraíso do Sul,simples,1,1,Planossolo Háplico,Agricultura
5,-,-,Carlos Alberto Casali,-,EPSG:4326,"-53,812761","-29,762041",10000,WEB,BR,RS,Santa Maria,simples,1,1,Planossolo Háplico,Agricultura
12,-,-,Carlos Alberto Casali,-,EPSG:4326,"-53,812761","-29,762041",10000,WEB,BR,RS,Santa Maria,simples,1,1,Planossolo Háplico,Agricultura
15,-,-,Carlos Alberto Casali,-,EPSG:4326,"-53,352172","-29,811012",10000,WEB,BR,RS,Restinga Seca,simples,1,1,Planossolo Háplico,Agricultura
16,-,-,Carlos Alberto Casali,-,EPSG:4326,"-50,567081","-29,867146",10000,WEB,BR,RS,Santo Antônio da Patrulha,simples,1,1,Planossolo Háplico,Agricultura
23,-,-,Carlos Alberto Casali,-,EPSG:4326,"-52,19305600","-28,31583300",10000,WEB,BR,RS,Santa Maria,simples,1,1,Planossolo Háplico,Agricultura
26,-,-,Carlos Alberto Casali,-,EPSG:4326,"-53,68000000","-29,66361100",10000,WEB,BR,RS,São Gabriel,simples,1,1,Planossolo Háplico,Agricultura
44,-,-,Carlos Alberto Casali,-,EPSG:4326,"-56,91166700","-28,24527800",10000,WEB,BR,RS,Uruguaiana,simples,1,1,Vertissolo Ebânico,Agricultura
51,-,-,Carlos Alberto Casali,-,EPSG:4326,"-50,82055600","-28,83194400",10000,WEB,BR,RS,Caxias do Sul,simples,1,1,Neossolo Regolítico,Agricultura
54,-,-,Carlos Alberto Casali,-,EPSG:4326,"-53,32694400","-29,01722200",10000,WEB,BR,RS,Dom Pedrito,simples,1,1,Gleissolo Háplico,Agricultura
61,-,-,Carlos Alberto Casali,-,EPSG:4326,"-49,41638900","-28,55194400",10000,WEB,BR,RS,São Francisco de Paula,simples,1,1,Cambissolo Húmico,Agricultura
62,-,-,Carlos Alberto Casali,-,EPSG:4326,"-50,82055600","-28,83194400",10000,WEB,BR,RS,Caxias do Sul,simples,1,1,Neossolo Regolítico,Agricultura
63,-,-,Carlos Alberto Casali,-,EPSG:4326,"-49,06611100","-27,48777800",10000,WEB,BR,RS,Vacaria,simples,1,1,Latossolo Bruno,Agricultura
64,-,-,Carlos Alberto Casali,-,EPSG:4326,"-50,81833300","-28,97111100",10000,WEB,BR,RS,Flores da Cunha,simples,1,1,Chernossolo Argilúvico,Agricultura
65,-,-,Carlos Alberto Casali,-,EPSG:4326,"-49,58333300","-27,33222200",10000,WEB,BR,RS,Bom Jesus,simples,1,1,Cambissolo Húmico,Agricultura
74,-,-,Carlos Alberto Casali,-,EPSG:4326,"-50,72083300","-27,18000000",10000,WEB,BR,RS,Ipê,simples,1,1,Cambissolo Húmico,Agricultura
78,-,-,Carlos Alberto Casali,-,EPSG:4326,"-49,58333300","-27,33222200",10000,WEB,BR,RS,Bom Jesus,simples,1,1,Cambissolo Húmico,Agricultura
10,-,-,Darines Britzke,-,EPSG:4326,"-52,63194400","-32,48111100",10000,WEB,BR,RS,Santa Vitória do Palmar,simples,1,1,Planossolo Háplico,Agricultura
24,-,-,Darines Britzke,-,EPSG:4326,"-50,90611100","-28,04888900",10000,WEB,BR,RS,Cachoeirinha,simples,1,1,Gleissolo Háplico,Agricultura
46,-,-,Darines Britzke,-,EPSG:4326,"-52,50861100","-29,48777800",10000,WEB,BR,RS,Caçapava do Sul,simples,1,1,Planossolo Háplico,Agricultura
99,-,-,Darines Britzke,-,EPSG:4326,"-50,18777800","-29,14888900",10000,WEB,BR,RS,Camaquã,simples,1,1,Gleissolo Melânico,Agricultura
94,Erexim A,-,Davi Alexandre Vieira,-,EPSG:4326,"-51,25166700","-27,43972200",10000,WEB,BR,RS,Victor Graeff,simples,1,1,Latossolo Vermelho,Agricultura
103,Erexim B,-,Davi Alexandre Vieira,-,EPSG:4326,"-51,25166700","-27,43972200",10000,WEB,BR,RS,Victor Graeff,simples,1,1,Latossolo Vermelho,Agricultura
104,Escobar B,-,Davi Alexandre Vieira,-,EPSG:4326,"-54,46722200","-29,10916700",10000,WEB,BR,RS,Santana do Livramento,simples,1,1,Vertissolo Ebânico,Campo nativo
100,Estação A,-,Davi Alexandre Vieira,-,EPSG:4326,"-50,47416700","-27,79138900",10000,WEB,BR,RS,Lagoa Vermelha,simples,1,1,Nitossolo Vermelho,Agricultura
101,Estação B,-,Davi Alexandre Vieira,-,EPSG:4326,"-50,47416700","-27,79138900",10000,WEB,BR,RS,Lagoa Vermelha,simples,1,1,Nitossolo Vermelho,Agricultura
70,Farroupilha A,-,Davi Alexandre Vieira,-,EPSG:4326,"-50,65222200","-28,77500000",10000,WEB,BR,RS,Farroupilha,simples,1,1,Cambissolo Húmico,Agricultura
105,Farroupilha B,-,Davi Alexandre Vieira,-,EPSG:4326,"-50,65222200","-28,77500000",10000,WEB,BR,RS,Farroupilha,simples,1,1,Cambissolo Húmico,Agricultura
68,Passo Fundo A,-,Davi Alexandre Vieira,-,EPSG:4326,"-51,59333300","-27,73722200",10000,WEB,BR,RS,Passo Fundo,simples,1,1,Latossolo Vermelho,Agricultura
69,Piraí B,-,Davi Alexandre Vieira,-,EPSG:4326,"-53,68000000","-29,66361100",10000,WEB,BR,RS,São Gabriel,simples,1,1,Luvissolo Háplico,Campo nativo
28,São Pedro A,-,Davi Alexandre Vieira,-,EPSG:4326,"-53,82111100","-28,37944400",10000,WEB,BR,RS,São Pedro do Sul,simples,1,1,Argissolo Vermelho,Agricultura
80,SJA-B1-10-15,-,-,05-05-2006,EPSG:4326,"-49,88669400","-28,59472200",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
59,SJA-B1-5-10,-,-,05-05-2006,EPSG:4326,"-49,88669400","-28,59472200",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
84,SJA-B14-10-15,-,-,05-05-2006,EPSG:4326,"-49,95624200","-28,65761200",100,MAP,BR,RS,São José dos Ausentes,simples,1,1,Cambissolo Húmico,Campo nativo
85,SJA-B15-5-10,-,-,05-05-2006,EPSG:4326,"-49,95611100","-28,65777800",100,MAP,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
57,SJA-B2-0-5,-,-,05-05-2006,EPSG:4326,"-49,88677800","-28,59430600",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
87,SJA-B2-10-15,-,-,05-05-2006,EPSG:4326,"-49,88677800","-28,59430600",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
75,SJA-B2-5-10,-,-,05-05-2006,EPSG:4326,"-49,88677800","-28,59430600",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
58,SJA-B3-0-5,-,-,05-05-2006,EPSG:4326,"-49,86036100","-28,59344400",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
73,SJA-B3-10-15,-,-,05-05-2006,EPSG:4326,"-49,86036100","-28,59344400",15,GPS,BR,RS,São José dos Ausentes,simples,1,1,Neossolo Litólico,Campo nativo
